name,status,total_queries,n_questions,final_queries,splits,results
spider/customer_deliveries/0002,2,0,0,,,
spider/flight_1/0031,2,0,0,,,
spider/epinions_1/0006,2,0,0,,,
spider/candidate_poll/0010,2,0,0,,,
spider/cre_Theme_park/0020,0,42,4,"[""SELECT `shop_details` FROM (SELECT `LHS`.`tourist_attraction_id` AS `tourist_attraction_id`, `LHS`.`attraction_type_code` AS `attraction_type_code`, `LHS`.`location_id` AS `location_id`, `LHS`.`how_to_get_there` AS `how_to_get_there`, `LHS`.`name` AS `name`, `LHS`.`description` AS `description`, `LHS`.`opening_hours` AS `opening_hours`, `LHS`.`other_details` AS `other_details`, `RHS`.`shop_details` AS `shop_details` FROM (SELECT * FROM `tourist_attractions` WHERE (`how_to_get_there` = 'walk')) AS LHS INNER JOIN `shops` AS RHS ON (LHS.tourist_attraction_id = RHS.shop_id)) ORDER BY shop_details"", ""SELECT `shop_details` FROM (SELECT `tourist_attraction_id`, `attraction_type_code`, `location_id`, `how_to_get_there`, `name`, `description`, `opening_hours`, `other_details`, `shop_details`, `tourist_attraction_id` AS `shop_id` FROM (SELECT `LHS`.`tourist_attraction_id` AS `tourist_attraction_id`, `LHS`.`attraction_type_code` AS `attraction_type_code`, `LHS`.`location_id` AS `location_id`, `LHS`.`how_to_get_there` AS `how_to_get_there`, `LHS`.`name` AS `name`, `LHS`.`description` AS `description`, `LHS`.`opening_hours` AS `opening_hours`, `LHS`.`other_details` AS `other_details`, `RHS`.`shop_details` AS `shop_details` FROM `tourist_attractions` AS `LHS` INNER JOIN `shops` AS `RHS` ON (`LHS`.`tourist_attraction_id` = `RHS`.`shop_id`))) WHERE (`how_to_get_there` = 'walk') ORDER BY shop_details"", ""SELECT `shop_details` FROM (SELECT `LHS`.`tourist_attraction_id` AS `tourist_attraction_id`, `RHS`.`shop_details` AS `shop_details` FROM (SELECT `tourist_attraction_id` FROM `tourist_attractions` WHERE (`how_to_get_there` = 'walk') INTERSECT SELECT tourist_attraction_id FROM `tourist_attractions`) AS LHS INNER JOIN `shops` AS RHS ON (LHS.tourist_attraction_id = RHS.shop_id)) ORDER BY shop_details"", ""SELECT `shop_details` FROM (SELECT `LHS`.`tourist_attraction_id` AS `tourist_attraction_id`, `RHS`.`shop_details` AS `shop_details` FROM (SELECT `tourist_attraction_id` FROM `tourist_attractions` WHERE (`how_to_get_there` = 'walk') INTERSECT SELECT `tourist_attraction_id` FROM `tourist_attractions` WHERE (`how_to_get_there` = 'walk')) AS LHS INNER JOIN `shops` AS RHS ON (LHS.tourist_attraction_id = RHS.shop_id)) ORDER BY shop_details"", ""SELECT `shop_details` FROM (SELECT `LHS`.`tourist_attraction_id` AS `tourist_attraction_id`, `RHS`.`shop_details` AS `shop_details` FROM (SELECT `tourist_attraction_id` FROM `tourist_attractions` INTERSECT SELECT `tourist_attraction_id` FROM `tourist_attractions` WHERE (`how_to_get_there` = 'walk')) AS LHS INNER JOIN `shops` AS RHS ON (LHS.tourist_attraction_id = RHS.shop_id)) ORDER BY shop_details"", ""SELECT `shop_details` FROM (SELECT `LHS`.`tourist_attraction_id` AS `tourist_attraction_id`, `LHS`.`attraction_type_code` AS `attraction_type_code`, `LHS`.`location_id` AS `location_id`, `LHS`.`how_to_get_there` AS `how_to_get_there`, `LHS`.`name` AS `name`, `LHS`.`description` AS `description`, `LHS`.`opening_hours` AS `opening_hours`, `LHS`.`other_details` AS `other_details`, `RHS`.`shop_details` AS `shop_details` FROM (SELECT * FROM `tourist_attractions` AS `LHS` WHERE NOT EXISTS (SELECT 1 FROM (SELECT * FROM `tourist_attractions` WHERE (`how_to_get_there` != 'walk')) AS RHS WHERE (LHS.attraction_type_code = RHS.attraction_type_code AND LHS.tourist_attraction_id = RHS.tourist_attraction_id) )) AS LHS INNER JOIN `shops` AS RHS ON (LHS.tourist_attraction_id = RHS.shop_id)) ORDER BY shop_details"", ""SELECT `shop_details` FROM (SELECT `LHS`.`tourist_attraction_id` AS `tourist_attraction_id`, `LHS`.`attraction_type_code` AS `attraction_type_code`, `LHS`.`location_id` AS `location_id`, `LHS`.`how_to_get_there` AS `how_to_get_there`, `LHS`.`name` AS `name`, `LHS`.`description` AS `description`, `LHS`.`opening_hours` AS `opening_hours`, `LHS`.`other_details` AS `other_details`, `RHS`.`shop_details` AS `shop_details` FROM (SELECT * FROM `tourist_attractions` AS `LHS` WHERE NOT EXISTS (SELECT 1 FROM (SELECT * FROM `tourist_attractions` WHERE (`how_to_get_there` != 'walk')) AS RHS WHERE (LHS.how_to_get_there = RHS.how_to_get_there) )) AS LHS INNER JOIN `shops` AS RHS ON (LHS.tourist_attraction_id = RHS.shop_id)) ORDER BY shop_details"", ""SELECT `shop_details` FROM (SELECT `LHS`.`tourist_attraction_id` AS `tourist_attraction_id`, `LHS`.`attraction_type_code` AS `attraction_type_code`, `LHS`.`location_id` AS `location_id`, `LHS`.`how_to_get_there` AS `how_to_get_there`, `LHS`.`name` AS `name`, `LHS`.`description` AS `description`, `LHS`.`opening_hours` AS `opening_hours`, `LHS`.`other_details` AS `other_details`, `RHS`.`shop_details` AS `shop_details` FROM (SELECT * FROM `tourist_attractions` AS `LHS` WHERE NOT EXISTS (SELECT 1 FROM (SELECT * FROM `tourist_attractions` WHERE (`how_to_get_there` != 'walk')) AS RHS WHERE (LHS.how_to_get_there = RHS.how_to_get_there AND LHS.name = RHS.name) )) AS LHS INNER JOIN `shops` AS RHS ON (LHS.tourist_attraction_id = RHS.shop_id)) ORDER BY shop_details"", ""SELECT `shop_details` FROM (SELECT `LHS`.`tourist_attraction_id` AS `tourist_attraction_id`, `LHS`.`attraction_type_code` AS `attraction_type_code`, `LHS`.`location_id` AS `location_id`, `LHS`.`how_to_get_there` AS `how_to_get_there`, `LHS`.`name` AS `name`, `LHS`.`description` AS `description`, `LHS`.`opening_hours` AS `opening_hours`, `LHS`.`other_details` AS `other_details`, `RHS`.`shop_details` AS `shop_details` FROM (SELECT * FROM `tourist_attractions` AS `LHS` WHERE NOT EXISTS (SELECT 1 FROM (SELECT * FROM `tourist_attractions` WHERE (`how_to_get_there` != 'walk')) AS RHS WHERE (LHS.how_to_get_there = RHS.how_to_get_there AND LHS.tourist_attraction_id = RHS.tourist_attraction_id) )) AS LHS INNER JOIN `shops` AS RHS ON (LHS.tourist_attraction_id = RHS.shop_id)) ORDER BY shop_details"", ""SELECT `shop_details` FROM (SELECT `LHS`.`tourist_attraction_id` AS `tourist_attraction_id`, `LHS`.`attraction_type_code` AS `attraction_type_code`, `LHS`.`location_id` AS `location_id`, `LHS`.`how_to_get_there` AS `how_to_get_there`, `LHS`.`name` AS `name`, `LHS`.`description` AS `description`, `LHS`.`opening_hours` AS `opening_hours`, `LHS`.`other_details` AS `other_details`, `RHS`.`shop_details` AS `shop_details` FROM (SELECT * FROM `tourist_attractions` AS `LHS` WHERE NOT EXISTS (SELECT 1 FROM (SELECT * FROM `tourist_attractions` WHERE (`how_to_get_there` != 'walk')) AS RHS WHERE (LHS.location_id = RHS.location_id AND LHS.tourist_attraction_id = RHS.tourist_attraction_id) )) AS LHS INNER JOIN `shops` AS RHS ON (LHS.tourist_attraction_id = RHS.shop_id)) ORDER BY shop_details"", ""SELECT `shop_details` FROM (SELECT `LHS`.`tourist_attraction_id` AS `tourist_attraction_id`, `LHS`.`attraction_type_code` AS `attraction_type_code`, `LHS`.`location_id` AS `location_id`, `LHS`.`how_to_get_there` AS `how_to_get_there`, `LHS`.`name` AS `name`, `LHS`.`description` AS `description`, `LHS`.`opening_hours` AS `opening_hours`, `LHS`.`other_details` AS `other_details`, `RHS`.`shop_details` AS `shop_details` FROM (SELECT * FROM `tourist_attractions` AS `LHS` WHERE NOT EXISTS (SELECT 1 FROM (SELECT * FROM `tourist_attractions` WHERE (`how_to_get_there` != 'walk')) AS RHS WHERE (LHS.name = RHS.name AND LHS.tourist_attraction_id = RHS.tourist_attraction_id) )) AS LHS INNER JOIN `shops` AS RHS ON (LHS.tourist_attraction_id = RHS.shop_id)) ORDER BY shop_details"", ""SELECT `shop_details` FROM (SELECT `LHS`.`tourist_attraction_id` AS `tourist_attraction_id`, `LHS`.`attraction_type_code` AS `attraction_type_code`, `LHS`.`location_id` AS `location_id`, `LHS`.`how_to_get_there` AS `how_to_get_there`, `LHS`.`name` AS `name`, `LHS`.`description` AS `description`, `LHS`.`opening_hours` AS `opening_hours`, `LHS`.`other_details` AS `other_details`, `RHS`.`shop_details` AS `shop_details` FROM (SELECT * FROM `tourist_attractions` AS `LHS` WHERE NOT EXISTS (SELECT 1 FROM (SELECT * FROM `tourist_attractions` WHERE (`how_to_get_there` != 'walk')) AS RHS WHERE (LHS.tourist_attraction_id = RHS.tourist_attraction_id) )) AS LHS INNER JOIN `shops` AS RHS ON (LHS.tourist_attraction_id = RHS.shop_id)) ORDER BY shop_details"", ""SELECT `shop_details` FROM (SELECT `LHS`.`tourist_attraction_id` AS `tourist_attraction_id`, `LHS`.`attraction_type_code` AS `attraction_type_code`, `LHS`.`location_id` AS `location_id`, `LHS`.`how_to_get_there` AS `how_to_get_there`, `LHS`.`name` AS `name`, `LHS`.`description` AS `description`, `LHS`.`opening_hours` AS `opening_hours`, `LHS`.`other_details` AS `other_details`, `RHS`.`shop_details` AS `shop_details` FROM (SELECT * FROM `tourist_attractions` AS `LHS` WHERE NOT EXISTS (SELECT 1 FROM (SELECT * FROM `tourist_attractions` WHERE (`how_to_get_there` != 'walk')) AS RHS WHERE (LHS.how_to_get_there = RHS.how_to_get_there AND LHS.location_id = RHS.location_id) )) AS LHS INNER JOIN `shops` AS RHS ON (LHS.tourist_attraction_id = RHS.shop_id)) ORDER BY shop_details"", ""SELECT `shop_details` FROM (SELECT `LHS`.`tourist_attraction_id` AS `tourist_attraction_id`, `LHS`.`attraction_type_code` AS `attraction_type_code`, `LHS`.`location_id` AS `location_id`, `LHS`.`how_to_get_there` AS `how_to_get_there`, `LHS`.`name` AS `name`, `LHS`.`description` AS `description`, `LHS`.`opening_hours` AS `opening_hours`, `LHS`.`other_details` AS `other_details`, `RHS`.`shop_details` AS `shop_details` FROM (SELECT * FROM `tourist_attractions` AS `LHS` WHERE NOT EXISTS (SELECT 1 FROM (SELECT * FROM `tourist_attractions` WHERE (`how_to_get_there` != 'walk')) AS RHS WHERE (LHS.attraction_type_code = RHS.attraction_type_code AND LHS.how_to_get_there = RHS.how_to_get_there) )) AS LHS INNER JOIN `shops` AS RHS ON (LHS.tourist_attraction_id = RHS.shop_id)) ORDER BY shop_details""]","[[17, 22, 1, 1, 1], [15, 1, 1, 1, 1, 1], [14, 1]]","[False, True, True]"
spider/school_bus/0002,2,0,0,,,
spider/customers_and_products_contacts/0009,2,0,0,,,
spider/voter_2/0021,0,4,2,"[""SELECT DISTINCT `fname`, `lname` FROM (SELECT `LHS`.`stuid` AS `stuid`, `LHS`.`lname` AS `lname`, `LHS`.`fname` AS `fname`, `LHS`.`age` AS `age`, `LHS`.`sex` AS `sex`, `LHS`.`major` AS `major`, `LHS`.`advisor` AS `advisor`, `LHS`.`city_code` AS `city_code`, `RHS`.`stuid` AS `stuid_other`, `RHS`.`registration_date` AS `registration_date`, `RHS`.`election_cycle` AS `election_cycle`, `RHS`.`president_vote` AS `president_vote`, `RHS`.`secretary_vote` AS `secretary_vote`, `RHS`.`treasurer_vote` AS `treasurer_vote`, `RHS`.`class_president_vote` AS `class_president_vote`, `RHS`.`class_senator_vote` AS `class_senator_vote` FROM (SELECT * FROM `student` WHERE (`age` = '18')) AS LHS INNER JOIN `voting_record` AS RHS ON (LHS.stuid = RHS.vice_president_vote)) ORDER BY fname"", ""SELECT DISTINCT `fname`, `lname` FROM (SELECT `stuid`, `lname`, `fname`, `age`, `sex`, `major`, `advisor`, `city_code`, `stuid_other`, `registration_date`, `election_cycle`, `president_vote`, `secretary_vote`, `treasurer_vote`, `class_president_vote`, `class_senator_vote`, `stuid` AS `vice_president_vote` FROM (SELECT `LHS`.`stuid` AS `stuid`, `LHS`.`lname` AS `lname`, `LHS`.`fname` AS `fname`, `LHS`.`age` AS `age`, `LHS`.`sex` AS `sex`, `LHS`.`major` AS `major`, `LHS`.`advisor` AS `advisor`, `LHS`.`city_code` AS `city_code`, `RHS`.`stuid` AS `stuid_other`, `RHS`.`registration_date` AS `registration_date`, `RHS`.`election_cycle` AS `election_cycle`, `RHS`.`president_vote` AS `president_vote`, `RHS`.`secretary_vote` AS `secretary_vote`, `RHS`.`treasurer_vote` AS `treasurer_vote`, `RHS`.`class_president_vote` AS `class_president_vote`, `RHS`.`class_senator_vote` AS `class_senator_vote` FROM `student` AS `LHS` INNER JOIN `voting_record` AS `RHS` ON (`LHS`.`stuid` = `RHS`.`vice_president_vote`))) WHERE (`age` = '18') ORDER BY fname""]","[[2, 2]]",[True]
spider/railway/0014,2,0,0,,,
spider/culture_company/0012,2,0,0,,,
